Lat,Long,cat2,x,Start
39.08303061,-76.93855621,29,0,12/13/14
39.15994695,-77.19998423,18,0,12/13/14
39.15617976,-77.17155451,10,0,12/13/14
38.99754832,-77.02979931,10,0,12/13/14
39.08314597,-77.2050239,14,0,12/13/14
38.98653441,-77.08783895,14,0,12/13/14
39.02974937,-77.02113164,28,0,12/13/14
39.12683819,-77.20542375,28,0,12/13/14
39.16520568,-77.18878472,22,0,12/13/14
39.14653124,-77.18494048,8,0,12/14/14
39.0463494,-77.12100818,14,0,12/14/14
39.22257865,-77.17590355,28,0,12/14/14
39.17363281,-77.18941363,28,0,12/14/14
38.96297878,-77.10097865,10,0,12/14/14
39.08213838,-76.94728378,29,0,12/14/14
39.13215908,-77.09563566,10,0,12/14/14
39.15426157,-77.28612304,6,0,12/15/14
39.1544259,-77.2810213,14,0,12/15/14
39.15931447,-77.2191381,2941,0,12/15/14
38.99543874,-77.02916275,29,0,12/15/14
39.10793814,-77.14811,29,0,12/15/14
39.07997906,-77.14343776,10,0,12/15/14
39.1965221,-77.27573322,21,0,12/15/14
39.07534359,-77.15301189,7,0,12/15/14
38.99383294,-76.99113303,28,0,12/16/14
39.06290211,-77.08120714,5,0,12/16/14
39.0339696,-77.01834012,5,0,12/16/14
39.08774745,-76.94936828,6,0,12/16/14
39.11927555,-77.15692127,21,0,12/16/14
39.078841,-77.15628092,29,0,12/16/14
39.06338268,-77.06918817,29,0,12/17/14
38.99651581,-77.01589446,29,0,12/17/14
39.15162216,-77.06359974,6,0,12/17/14
38.98984033,-77.09644309,6,0,12/17/14
39.14261353,-77.18265089,29,0,12/17/14
39.05559109,-76.96171102,29,0,12/17/14
39.11170071,-76.94720147,6,0,12/17/14
39.1498268,-77.27370111,3,0,12/17/14
39.03975635,-77.0700689,6,0,12/17/14
39.19841751,-77.24491824,6,0,12/17/14
39.03870312,-77.05089204,6,0,12/17/14
39.04240531,-77.07126625,6,0,12/18/14
38.99178744,-77.03063755,10,0,12/18/14
39.01737479,-77.12006755,18,0,12/18/14
